Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
ZEN,ZENDESK INC,Equity,0.73,86.01,"348,740.00","29,995,127.40","29,995,127.40",Information Technology,BMH0MR7,US98936J1016,New York Stock Exchange Inc.,United States,USD,USD,1
GWRE,GUIDEWIRE SOFTWARE INC,Equity,0.67,107.44,"256,718.00","27,581,781.92","27,581,781.92",Information Technology,B7JYSG3,US40171V1008,New York Stock Exchange Inc.,United States,USD,USD,1
ZNGA,ZYNGA INC CLASS A,Equity,0.66,9.21,"2,940,757.00","27,084,371.97","27,084,371.97",Communication,B79PX49,US98986T1088,NASDAQ,United States,USD,USD,1
PTC,PTC INC,Equity,0.64,81.54,"323,128.00","26,347,857.12","26,347,857.12",Information Technology,B95N910,US69370C1009,NASDAQ,United States,USD,USD,1
HUBS,HUBSPOT INC,Equity,0.63,208.26,"125,090.00","26,051,243.40","26,051,243.40",Information Technology,BR4T3B3,US4435731009,New York Stock Exchange Inc.,United States,USD,USD,1
CDAY,CERIDIAN HCM HOLDING INC,Equity,0.58,76.03,"313,115.00","23,806,133.45","23,806,133.45",Information Technology,BFX1V56,US15677J1088,New York Stock Exchange Inc.,United States,USD,USD,1
AZPN,ASPEN TECHNOLOGY INC,Equity,0.56,108.28,"212,002.00","22,955,576.56","22,955,576.56",Information Technology,2051868,US0453271035,NASDAQ,United States,USD,USD,1
AYX,ALTERYX INC CLASS A,Equity,0.51,139.12,"151,577.00","21,087,392.24","21,087,392.24",Information Technology,BYWMQJ2,US02156B1035,New York Stock Exchange Inc.,United States,USD,USD,1
ZS,ZSCALER INC,Equity,0.51,103.59,"203,015.00","21,030,323.85","21,030,323.85",Information Technology,BZ00V34,US98980G1022,NASDAQ,United States,USD,USD,1
NUAN,NUANCE COMMUNICATIONS INC,Equity,0.5,23.63,"877,802.00","20,742,461.26","20,742,461.26",Information Technology,2402121,US67020Y1001,NASDAQ,United States,USD,USD,1
AVLR,AVALARA INC,Equity,0.5,100.9,"204,376.00","20,621,538.40","20,621,538.40",Information Technology,BZ1NVP4,US05338G1067,New York Stock Exchange Inc.,United States,USD,USD,1
